"","game","round","date","home_team","score","away_team","arena","X"
"1","1","1","14/05/2017 - 11:00","266","3 x 2","277","Maracanã - Rio de Janeiro - RJ",""
"2","2","1","13/05/2017 - 16:00","262","1 x 1","282","Maracanã - Rio de Janeiro - RJ",""
"3","3","1","14/05/2017 - 16:00","275","4 x 0","267","Allianz Parque - Sao Paulo - SP",""
"4","4","1","13/05/2017 - 19:00","264","1 x 1","315","Arena Corinthians - Sao Paulo - SP",""
"5","5","1","14/05/2017 - 16:00","283","1 x 0","276","Mineirão - Belo Horizonte - MG",""
"6","6","1","15/05/2017 - 20:00","294","4 x 1","373","Couto Pereira - Curitiba - PR",""
"7","7","1","14/05/2017 - 19:00","284","2 x 0","263","Arena do Grêmio - Porto Alegre - RS",""
"8","8","1","14/05/2017 - 16:00","265","6 x 2","293","Arena Fonte Nova - Salvador - BA",""
"9","9","1","14/05/2017 - 16:00","303","4 x 0","292","Moisés Lucarelli - Campinas - SP",""
"10","10","1","14/05/2017 - 16:00","314","0 x 0","287","Ressacada - Florianopolis - SC",""
"11","11","2","21/05/2017 - 18:00","263","2 x 0","303","Nilton Santos - Rio de Janeiro - RJ",""
"12","12","2","21/05/2017 - 11:00","267","2 x 1","265","São Januário - Rio de Janeiro - RJ",""
"13","13","2","20/05/2017 - 16:00","277","1 x 0","294","Vila Belmiro - 277",""
"14","14","2","22/05/2017 - 20:00","276","2 x 0","314","Morumbi - Sao Paulo - SP",""
"15","15","2","21/05/2017 - 16:00","282","1 x 2","266","Independência - Belo Horizonte - MG",""
"16","16","2","21/05/2017 - 16:00","293","0 x 2","284","Arena da Baixada - Curitiba - PR",""
"17","17","2","21/05/2017 - 19:00","292","1 x 1","283","Ilha do Retiro - Recife - PE",""
"18","18","2","21/05/2017 - 16:00","287","0 x 1","264","Arena Fonte Nova - Salvador - BA",""
"19","19","2","20/05/2017 - 19:00","373","0 x 3","262","Serra Dourada - Goiania - GO",""
"20","20","2","20/05/2017 - 19:00","315","1 x 0","275","Arena Condá - Chapeco - SC",""
"21","21","3","28/05/2017 - 19:00","263","1 x 0","265","Nilton Santos - Rio de Janeiro - RJ",""
"22","22","3","27/05/2017 - 16:00","267","3 x 2","266","São Januário - Rio de Janeiro - RJ",""
"23","23","3","28/05/2017 - 16:00","277","0 x 1","283","Vila Belmiro - 277",""
"24","24","3","27/05/2017 - 19:00","276","2 x 0","275","Morumbi - Sao Paulo - SP",""
"25","25","3","28/05/2017 - 11:00","282","2 x 2","303","Independência - Belo Horizonte - MG",""
"26","26","3","28/05/2017 - 16:00","293","1 x 1","262","Arena da Baixada - Curitiba - PR",""
"27","27","3","28/05/2017 - 18:00","292","4 x 3","284","Ilha do Retiro - Recife - PE",""
"28","28","3","27/05/2017 - 21:00","287","0 x 1","294","Arena Fonte Nova - Salvador - BA",""
"29","29","3","28/05/2017 - 16:00","373","0 x 1","264","Serra Dourada - Goiania - GO",""
"30","30","3","29/05/2017 - 20:00","315","2 x 0","314","Arena Condá - Chapeco - SC",""
"31","31","4","03/06/2017 - 18:00","266","2 x 1","287","Maracanã - Rio de Janeiro - RJ",""
"32","32","4","04/06/2017 - 11:00","262","0 x 0","263","Raulino de Oliveira - Volta Redonda - RJ",""
"33","33","4","04/06/2017 - 16:00","275","0 x 0","282","Allianz Parque - Sao Paulo - SP",""
"34","34","4","03/06/2017 - 19:00","264","2 x 0","277","Arena Corinthians - Sao Paulo - SP",""
"35","35","4","04/06/2017 - 19:00","283","0 x 2","315","Mineirão - Belo Horizonte - MG",""
"36","36","4","03/06/2017 - 16:00","294","1 x 0","293","Couto Pereira - Curitiba - PR",""
"37","37","4","04/06/2017 - 16:00","284","2 x 0","267","Arena do Grêmio - Porto Alegre - RS",""
"38","38","4","05/06/2017 - 20:00","265","3 x 0","373","Arena Fonte Nova - Salvador - BA",""
"39","39","4","04/06/2017 - 16:00","303","1 x 0","276","Moisés Lucarelli - Campinas - SP",""
"40","40","4","04/06/2017 - 11:00","314","1 x 0","292","Ressacada - Florianopolis - SC",""
"41","41","5","06/06/2017 - 20:00","266","1 x 1","293","Maracanã - Rio de Janeiro - RJ",""
"42","42","5","07/06/2017 - 21:45","267","2 x 5","264","São Januário - Rio de Janeiro - RJ",""
"43","43","5","07/06/2017 - 21:00","277","1 x 0","263","Pacaembu - Sao Paulo - SP",""
"44","44","5","08/06/2017 - 19:30","276","2 x 0","287","Morumbi - Sao Paulo - SP",""
"45","45","5","07/06/2017 - 19:30","282","1 x 0","314","Independência - Belo Horizonte - MG",""
"46","46","5","07/06/2017 - 19:30","294","1 x 0","275","Couto Pereira - Curitiba - PR",""
"47","47","5","07/06/2017 - 21:45","292","2 x 0","262","Ilha do Retiro - Recife - PE",""
"48","48","5","08/06/2017 - 21:00","265","1 x 0","283","Arena Fonte Nova - Salvador - BA",""
"49","49","5","08/06/2017 - 19:30","373","3 x 0","303","Olímpico Pedro Ludovico - Goiania - GO",""
"50","50","5","08/06/2017 - 20:00","315","3 x 6","284","Arena Condá - Chapeco - SC",""
"51","51","6","11/06/2017 - 11:00","263","2 x 2","294","Nilton Santos - Rio de Janeiro - RJ",""
"52","52","6","10/06/2017 - 19:00","267","2 x 1","292","São Januário - Rio de Janeiro - RJ",""
"53","53","6","10/06/2017 - 16:00","275","3 x 1","266","Allianz Parque - Sao Paulo - SP",""
"54","54","6","11/06/2017 - 16:00","264","3 x 2","276","Arena Corinthians - Sao Paulo - SP",""
"55","55","6","11/06/2017 - 18:30","283","2 x 0","373","Mineirão - Belo Horizonte - MG",""
"56","56","6","11/06/2017 - 19:00","293","0 x 2","277","Arena da Baixada - Curitiba - PR",""
"57","57","6","12/06/2017 - 20:00","284","1 x 0","265","Arena do Grêmio - Porto Alegre - RS",""
"58","58","6","11/06/2017 - 16:00","287","2 x 0","282","Manoel Barradas - Salvador - BA",""
"59","59","6","11/06/2017 - 16:00","303","3 x 2","315","Moisés Lucarelli - Campinas - SP",""
"60","60","6","11/06/2017 - 16:00","314","1 x 1","262","Ressacada - Florianopolis - SC",""
"61","61","7","15/06/2017 - 21:00","266","0 x 2","284","Maracanã - Rio de Janeiro - RJ",""
"62","62","7","14/06/2017 - 21:00","262","2 x 0","303","Luso Brasileiro - Rio de Janeiro - RJ",""
"63","63","7","14/06/2017 - 21:45","277","1 x 0","275","Vila Belmiro - 277",""
"64","64","7","14/06/2017 - 21:45","264","1 x 0","283","Arena Corinthians - Sao Paulo - SP",""
"65","65","7","14/06/2017 - 19:30","282","0 x 1","293","Independência - Belo Horizonte - MG",""
"66","66","7","15/06/2017 - 16:00","294","0 x 0","265","Couto Pereira - Curitiba - PR",""
"67","67","7","14/06/2017 - 19:30","292","0 x 0","276","Ilha do Retiro - Recife - PE",""
